Name,City,Country,FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Color
Herat,Herat,Afghanistan,HEA,OAHR,34.210017,62.2283,3206,4.5,U,1
Jalalabad,Jalalabad,Afghanistan,JAA,OAJL,34.399842,70.498625,1814,4.5,U,1
Kabul Intl,Kabul,Afghanistan,KBL,OAKB,34.565853,69.212328,5877,4.5,U,1
Kandahar,Kandahar,Afghanistan,KDH,OAKN,31.505756,65.847822,3337,4.5,U,1
Maimana,Maimama,Afghanistan,MMZ,OAMN,35.930789,64.760917,2743,4.5,U,1
Mazar I Sharif,Mazar-i-sharif,Afghanistan,MZR,OAMS,36.706914,67.209678,1284,4.5,U,1
Konduz,Kunduz,Afghanistan,UND,OAUZ,36.665111,68.910833,1457,4.5,U,1
Faizabad Airport,Faizabad,Afghanistan,FBD,OAFZ,37.1211,70.5181,3872,4.5,U,1
Bagram AFB,Kabul,Afghanistan,BPM,OAIX,34.5646,69.1554,4895,4.5,U,1
Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,OATN,32.605278,65.864167,3500,4.5,U,1
Zaranj Airport,Zaranj,Afghanistan,ZAJ,OAZJ,30.969167,61.866944,1581,4.5,U,1
Chaghcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,34.526667,65.271667,7383,4.5,U,1
FOB Salerno,Khost,Afghanistan,KHT,OAKS,33.3334,69.952,3756,4.5,N,1
Sharona,Sharona,Afghanistan,AZ3,OASA,33.1277215,68.8369847,7400,4.5,N,1
Bost Airport,Lashkar Gah,Afghanistan,BST,OABT,31.558889,64.364167,2464,4.5,U,1
Bamyan Airport,Bamyan,Afghanistan,BIN,OABN,34.816667,67.816667,2550,4.5,N,1
Tirana Rinas,Tirana,Albania,TIA,LATI,41.414742,19.720561,126,1,E,2
Soummam,Bejaja,Algeria,BJA,DAAE,36.711997,5.069922,20,1,N,2
Houari Boumediene,Algier,Algeria,ALG,DAAG,36.691014,3.215408,82,1,N,2
Tiska,Djanet,Algeria,DJG,DAAJ,24.292767,9.452444,3176,1,N,2
Boufarik,Boufarik,Algeria,QFD,DAAK,36.545834,2.876111,335,1,N,2
Illizi Takhamalt,Illizi,Algeria,VVZ,DAAP,26.723536,8.622653,1778,1,N,2
Tamanrasset,Tamanrasset,Algeria,TMR,DAAT,22.811461,5.451075,4518,1,N,2
Jijel,Jijel,Algeria,GJL,DAAV,36.795136,5.873608,36,1,N,2
Annaba,Annaba,Algeria,AAE,DABB,36.822225,7.809167,16,1,N,2
Mohamed Boudiaf Intl,Constantine,Algeria,CZL,DABC,36.276028,6.620386,2265,1,N,2
Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,DABS,35.431611,8.120717,2661,1,N,2
Hassi R Mel,Tilrempt,Algeria,HRM,DAFH,32.930431,3.311542,2540,1,N,2
Bou Chekif,Tiaret,Algeria,TID,DAOB,35.341136,1.463147,3245,1,N,2
Tindouf,Tindouf,Algeria,TIN,DAOF,27.700372,-8.167103,1453,1,N,2
Ech Cheliff,Ech-cheliff,Algeria,QAS,DAOI,36.212658,1.331775,463,1,N,2
Tafaraoui,Oran,Algeria,TAF,DAOL,35.542444,-0.532278,367,1,N,2
Zenata,Tlemcen,Algeria,TLM,DAON,35.016667,-1.45,814,1,N,2
Es Senia,Oran,Algeria,ORN,DAOO,35.623858,-0.621183,295,1,N,2
Ghriss,Ghriss,Algeria,MUW,DAOV,35.207725,0.147142,1686,1,N,2
Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,AZR,DAUA,27.837589,-0.186414,919,1,N,2
Biskra,Biskra,Algeria,BSK,DAUB,34.793289,5.738231,289,1,N,2
El Golea,El Golea,Algeria,ELG,DAUE,30.571294,2.859586,1306,1,N,2
Noumerat,Ghardaia,Algeria,GHA,DAUG,32.384106,3.794114,1512,1,N,2
Oued Irara,Hassi Messaoud,Algeria,HME,DAUH,31.672972,6.140444,463,1,N,2
In Salah,In Salah,Algeria,INZ,DAUI,27.251022,2.512017,896,1,N,2
Sidi Mahdi,Touggourt,Algeria,TGR,DAUK,33.067803,6.088672,279,1,N,2
Laghouat,Laghouat,Algeria,LOO,DAUL,33.764383,2.928344,2510,1,N,2
Timimoun,Timimoun,Algeria,TMX,DAUT,29.237119,0.276033,1027,1,N,2
Ouargla,Ouargla,Algeria,OGX,DAUU,31.917223,5.412778,492,1,N,2
In Amenas,Zarzaitine,Algeria,IAM,DAUZ,28.05155,9.642911,1847,1,N,2
Guemar Airport,Guemar,Algeria,ELU,DAUO,33.5114,6.77679,203,1,N,2
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,DATM,21.375,0.923889,1303,1,N,2
B√©char Boudghene Ben Ali Lotfi Airport,B√©char,Algeria,CBH,DAOR,31.6457,-2.26986,2661,1,N,2
Batna Airport,Batna,Algeria,BLJ,DABT,35.752106,6.308589,2697,1,N,2
Ain Arnat Airport,Setif,Algeria,QSF,DAAS,36.1781,5.32449,3360,1,U,2
Tsletsi Airport,Djelfa,Algeria,QDJ,DAFI,34.6657,3.351,10,1,U,2
El Bayadh,El Bayadh,Algeria,EBH,,33.717804,1.094105,,,,2
Mechria†,Mechria†,Algeria,MZW,,33.5354†,-0.242177,,,,2
Chlef†,Chlef†,Algeria,CFK,,36.212223,1.331667,,,,2
Pago Pago Intl,Pago Pago,American Samoa,PPG,NSTU,-14.331,-170.7105,32,-11,U,3
Fitiuta Airport,Fiti\\'uta,American Samoa,FTI,NSFQ,-14.216111,-169.423611,110,-11,U,3
Ofu Airport,Ofu,American Samoa,OFU,\N,-14.184444,-169.67,9,-11,U,3
Mbanza Congo,M'banza-congo,Angola,SSY,FNBC,-6.269897,14.247025,1860,1,N,4
Benguela,Benguela,Angola,BUG,FNBG,-12.609025,13.403711,118,1,N,4
Cabinda,Cabinda,Angola,CAB,FNCA,-5.596992,12.188353,66,1,N,4
Huambo,Huambo,Angola,NOV,FNHU,-12.808878,15.760547,5587,1,N,4
Kuito,Kuito,Angola,SVP,FNKU,-12.404633,16.947414,5618,1,N,4
Luanda 4 De Fevereiro,Luanda,Angola,LAD,FNLU,-8.858375,13.231178,243,1,N,4
Malanje,Malanje,Angola,MEG,FNMA,-9.525086,16.312406,3868,1,N,4
Menongue,Menongue,Angola,SPP,FNME,-14.657583,17.719833,4469,1,N,4
Negage,Negage,Angola,GXG,FNNG,-7.754506,15.287728,4105,1,N,4
Porto Amboim,Porto Amboim,Angola,PBN,FNPA,-10.721956,13.765528,16,1,N,4
Saurimo,Saurimo,Angola,VHC,FNSA,-9.689067,20.431875,3584,1,N,4
Soyo,Soyo,Angola,SZA,FNSO,-6.141086,12.371764,15,1,N,4
Lubango,Lubango,Angola,SDD,FNUB,-14.924733,13.575022,5778,1,N,4
Luena,Luena,Angola,LUO,FNUE,-11.768086,19.897672,4360,1,N,4
Uige,Uige,Angola,UGO,FNUG,-7.603067,15.027822,2720,1,N,4
Xangongo,Xangongo,Angola,XGN,FNXA,-16.755417,14.965344,3635,1,N,4
Namibe Airport,Mocamedes,Angola,MSZ,FNMO,-15.261222,12.146756,210,1,N,4
Ondjiva Pereira Airport,Ondjiva,Angola,VPE,FNGI,-17.043464,15.683822,3566,1,N,4
Dundo Airport,Dundo,Angola,DUE,FNDU,-7.40089,20.8185,2451,1,N,4
Catumbela Airport,Catumbela,Angola,CBT,FNCT,-12.4792,13.4869,0,1,N,4
Lucapa Airport,Lucapa,Angola,LBZ,FNLK,-8.443056,20.732222,500,1,U,4
Kapanda Airport,Kapanda,Angola,KNP,FNCP,-9.771944,15.456111,500,1,U,4
Wallblake,The Valley,Anguilla,AXA,TQPF,18.204834,-63.055084,127,-4,U,5
V C Bird Intl,Antigua,Antigua and Barbuda,ANU,TAPA,17.136749,-61.792667,62,-4,U,6
Codrington Airport,Codrington,Antigua and Barbuda,BBQ,TAPH,17.6358,-61.8286,15,-4,U,6
Aeropuerto de Rafaela,Rafaela,Argentina,RAF,\N,-31.282072,-61.501594,100,-3,N,7
Comodoro Pierrestegui,Concordia,Argentina,COC,SAAC,-31.296944,-57.996631,112,-3,N,7
Gualeguaychu,Gualeguaychu,Argentina,GHU,SAAG,-33.010278,-58.613056,75,-3,N,7
General Urquiza,Parana,Argentina,PRA,SAAP,-31.794778,-60.480361,243,-3,N,7
Rosario,Rosario,Argentina,ROS,SAAR,-32.903611,-60.785,85,-3,N,7
Sauce Viejo,Santa Fe,Argentina,SFN,SAAV,-31.711666,-60.811668,56,-3,N,7
Aeroparque Jorge Newbery,Buenos Aires,Argentina,AEP,SABE,-34.559175,-58.415606,18,-3,N,7
Ambrosio L V Taravella,Cordoba,Argentina,COR,SACO,-31.323619,-64.207953,1604,-3,N,7
La Plata,La Plata,Argentina,LPG,SADL,-34.972222,-57.894694,72,-3,N,7
El Plumerillo,Mendoza,Argentina,MDZ,SAME,-32.831717,-68.792856,2310,-3,N,7
Malargue,Malargue,Argentina,LGS,SAMM,-35.493597,-69.574267,4683,-3,N,7
San Rafael,San Rafael,Argentina,AFA,SAMR,-34.588314,-68.403854,2470,-3,N,7
Catamarca,Catamarca,Argentina,CTC,SANC,-28.593214,-65.750925,1522,-3,N,7
Santiago Del Estero,Santiago Del Estero,Argentina,SDE,SANE,-27.765617,-64.310122,656,-3,N,7
La Rioja,La Rioja,Argentina,IRJ,SANL,-29.381636,-66.795839,1436,-3,N,7
Teniente Benjamin Matienzo,Tucuman,Argentina,TUC,SANT,-26.840861,-65.104944,1495,-3,N,7
San Juan,San Julian,Argentina,UAQ,SANU,-31.571472,-68.418194,1959,-3,N,7
Rio Cuarto Area De Material,Rio Cuarto,Argentina,RCU,SAOC,-33.085128,-64.261314,1381,-3,N,7
Villa Dolores,Villa Dolores,Argentina,VDR,SAOD,-31.945183,-65.146283,1915,-3,N,7
San Luis,San Luis,Argentina,LUQ,SAOU,-33.273192,-66.356422,2329,-3,N,7
Corrientes,Corrientes,Argentina,CNQ,SARC,-27.445503,-58.761864,203,-3,N,7
Resistencia,Resistencia,Argentina,RES,SARE,-27.449986,-59.056125,173,-3,N,7
Formosa,Formosa,Argentina,FMA,SARF,-26.212722,-58.228111,194,-3,N,7
Cataratas Del Iguazu,Iguazu Falls,Argentina,IGR,SARI,-25.737281,-54.473444,916,-3,N,7
Paso De Los Libres,Paso De Los Libres,Argentina,AOL,SARL,-29.689425,-57.152078,230,-3,N,7
Posadas,Posadas,Argentina,PSS,SARP,-27.385839,-55.970728,430,-3,N,7
Salta,Salta,Argentina,SLA,SASA,-24.855978,-65.486169,4088,-3,N,7
Jujuy,Jujuy,Argentina,JUJ,SASJ,-24.392778,-65.097778,3019,-3,N,7
Oran,Oran,Argentina,ORA,SASO,-23.152779,-64.32917,1168,-3,N,7
El Bolson,El Bolson,Argentina,EHL,SAVB,-41.943189,-71.532289,1131,-3,N,7
Comodoro Rivadavia,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.785347,-67.465508,190,-3,N,7
Esquel,Esquel,Argentina,EQS,SAVE,-42.90795,-71.139472,2621,-3,N,7
Almirante Zar,Trelew,Argentina,REL,SAVT,-43.2105,-65.270319,141,-3,N,7
Gobernador Castello,Viedma,Argentina,VDM,SAVV,-40.869222,-63.000389,20,-3,N,7
El Tehuelche,Puerto Madryn,Argentina,PMY,SAVY,-42.759161,-65.102725,426,-3,N,7
Puerto Deseado,Puerto Deseado,Argentina,PUD,SAWD,-47.735292,-65.904097,266,-3,N,7
Rio Grande,Rio Grande,Argentina,RGA,SAWE,-53.777667,-67.749389,65,-3,N,7
Rio Gallegos,Rio Gallegos,Argentina,RGL,SAWG,-51.608875,-69.312636,61,-3,N,7
Ushuaia Malvinas Argentinas,Ushuaia,Argentina,USH,SAWH,-54.843278,-68.29575,71,-3,N,7
San Julian,San Julian,Argentina,ULA,SAWJ,-49.306775,-67.802589,190,-3,N,7
Perito Moreno,Perito Moreno,Argentina,PMQ,SAWP,-46.537911,-70.978689,1410,-3,N,7
Santa Cruz,Santa Cruz,Argentina,RZA,SAWU,-50.01655,-68.579197,364,-3,N,7
Comandante Espora,Bahia Blanca,Argentina,BHI,SAZB,-38.724967,-62.169317,246,-3,N,7
Mar Del Plata,Mar Del Plata,Argentina,MDQ,SAZM,-37.934167,-57.573333,71,-3,N,7
Presidente Peron,Neuquen,Argentina,NQN,SAZN,-38.949,-68.155711,895,-3,N,7
Santa Rosa,Santa Rosa,Argentina,RSA,SAZR,-36.588322,-64.275694,630,-3,N,7
San Carlos De Bariloche,San Carlos De Bariloche,Argentina,BRC,SAZS,-41.151172,-71.157542,2776,-3,N,7
Tandil,Tandil,Argentina,TDL,SAZT,-37.237392,-59.227922,574,-3,N,7
Villa Gesell,Villa Gesell,Argentina,VLG,SAZV,-37.235408,-57.029239,32,-3,N,7
Aviador C Campos,San Martin Des Andes,Argentina,CPC,SAZY,-40.075383,-71.137294,2569,-3,N,7
Ministro Pistarini,Buenos Aires,Argentina,EZE,SAEZ,-34.822222,-58.535833,67,-3,N,7
El Calafate,El Calafate,Argentina,FTE,SAWC,-50.280322,-72.053103,669,-3,N,7
Santa Teresita Airport,Santa Teresita,Argentina,SST,SAZL,-36.542317,-56.721756,9,-3,N,7
Gobernador Gregores Airport,Gobernador Gregores,Argentina,GGS,SAWR,-48.7831,-70.15,356,-3,N,7
Antoine De St Exupery Airport,San Antonio Oeste,Argentina,OES,SAVN,-40.7512,-65.0343,85,-3,N,7
Las Heras Airport,Las Heras,Argentina,LHS,SAVH,-46.533056,-68.951111,1082,-3,N,7
General Enrique Mosconi Airport,Tartagal,Argentina,TTG,SAST,-22.619167,-63.793189,1472,-3,N,7
Necochea Airport,Necochea,Argentina,NEC,SAZO,-38.483056,-58.817222,72,-3,N,7
Lago Argentino Airport,El Calafate,Argentina,ING,SAWA,-50.3361,-72.2486,732,-3,N,7
ZAPALA,ZAPALA,Argentina,APZ,SAHZ,-38.9755,-70.113581,3330,-3,N,7
Rincon de los Sauces,Rincon de los Sauces,Argentina,RDS,\N,-37.390617,-68.904211,1969,-3,N,7
Colonia Sarmiento,Colonia Sarmiento,Argentina,OLN,\N,-45.6,-69.083333,849,-3,N,7
Rio Turbio,Rio Turbio,Argentina,RYO,\N,-51.533333,-72.3,1158,-3,N,7
Caleta Olivia,Caleta Olivia,Argentina,CVI,\N,-46.4333,-67.5333,124,-3,N,7
Sierra Grande,Sierra Grande,Argentina,SGV,SAVS,-41.592,-65.341,820,-3,N,7
Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,IGB,SAVJ,-41.3,-69.5833,2936,-3,N,7
El Chalten,El Chalten,Argentina,ELX,\N,-49.328889,-72.93,1279,-3,N,7
Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,RLO,\N,-32.349803,-65.179932,100,-3,N,7
Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,ARR,SAVR,-45.016667,-70.816667,2145,-3,N,7
Jose de San Martin Airport,Jose de San Martin,Argentina,JSM,SAWS,-44.016667,-70.466667,4359,-3,N,7
Gilberto Lavaque,Cafayate,Argentina,CFX,SASC,-26.06245,-65.932095,5523,-3,S,7
Termal,Rio Hondo,Argentina,RHD,SANH,-27.509946,-64.936666,1181,-3,S,7
Zvartnots,Yerevan,Armenia,EVN,UDYZ,40.147275,44.395881,2838,4,E,8
Gyumri,Gyumri,Armenia,LWN,UDSG,40.750369,43.859342,5000,4,E,8
Reina Beatrix Intl,Oranjestad,Aruba,AUA,TNCA,12.501389,-70.015221,60,-4,U,9
Maitland Airport,Maitland,Australia,MTL,YMND,-32.7033,151.488,75,10,O,10
Mudgee Airport,Mudgee,Australia,DGE,YMDG,-32.5625,149.611,1545,10,O,10
Whitsunday Airstrip,Airlie Beach,Australia,WSY,YWHI,-20.276,148.755,60,10,O,10
Scone Airport,Scone,Australia,NSO,YSCO,-32.0372,150.832,745,10,O,10
Cessnock Airport,Cessnock,Australia,CES,YCNK,-32.7875,151.342,211,10,O,10
Orchid Beach,Fraser Island,Australia,OKB,KOKB,-24.95841,153.3145,6,10,O,10
Bamaga Injinoo,Amberley,Australia,ABM,YBAM,-10.950833,142.459444,34,10,O,10
Alice Springs,Alice Springs,Australia,ASP,YBAS,-23.806667,133.902222,1789,9.5,N,10
Brisbane Intl,Brisbane,Australia,BNE,YBBN,-27.384167,153.1175,13,10,N,10
Gold Coast,Coolangatta,Australia,OOL,YBCG,-28.164444,153.504722,21,10,N,10
Cairns Intl,Cairns,Australia,CNS,YBCS,-16.885833,145.755278,10,10,N,10
Charleville,Charlieville,Australia,CTL,YBCV,-26.413334,146.2625,1003,10,O,10
Mount Isa,Mount Isa,Australia,ISA,YBMA,-20.663889,139.488611,1121,10,O,10
Sunshine Coast,Maroochydore,Australia,MCY,YBMC,-26.603333,153.091111,15,10,O,10
Mackay,Mackay,Australia,MKY,YBMK,-21.171667,149.179722,19,10,O,10
Proserpine Whitsunday Coast,Prosserpine,Australia,PPP,YBPN,-20.495,148.552222,82,10,O,10
Rockhampton,Rockhampton,Australia,ROK,YBRK,-23.381944,150.475278,34,10,O,10
Townsville,Townsville,Australia,TSV,YBTL,-19.2525,146.765278,18,10,N,10
Weipa,Weipa,Australia,WEI,YBWP,-12.678611,141.925278,63,10,O,10
Avalon,Avalon,Australia,AVV,YMAV,-38.039444,144.469444,35,10,O,10
Albury,Albury,Australia,ABX,YMAY,-36.067778,146.958056,539,10,O,10
Melbourne Essendon,Melbourne,Australia,MEB,YMEN,-37.728056,144.901944,282,10,O,10
Hobart,Hobart,Australia,HBA,YMHB,-42.836111,147.510278,13,10,O,10
Launceston,Launceston,Australia,LST,YMLT,-41.545278,147.214167,562,10,O,10
Melbourne Moorabbin,Melbourne,Australia,MBW,YMMB,-37.975833,145.102222,50,10,O,10
Melbourne Intl,Melbourne,Australia,MEL,YMML,-37.673333,144.843333,434,10,O,10
Adelaide Intl,Adelaide,Australia,ADL,YPAD,-34.945,138.530556,20,9.5,O,10
Perth Jandakot,Perth,Australia,JAD,YPJT,-32.0975,115.881111,99,8,O,10
Karratha,Karratha,Australia,KTA,YPKA,-20.712222,116.773333,29,8,O,10
Kalgoorlie Boulder,Kalgoorlie,Australia,KGI,YPKG,-30.789444,121.461667,1203,8,O,10
Kununurra,Kununurra,Australia,KNX,YPKU,-15.778056,128.7075,145,8,O,10
Learmonth,Learmonth,Australia,LEA,YPLM,-22.235556,114.088611,19,8,O,10
Port Hedland Intl,Port Hedland,Australia,PHE,YPPD,-20.377778,118.626389,33,8,O,10
Perth Intl,Perth,Australia,PER,YPPH,-31.940278,115.966944,67,8,N,10
Woomera,Woomera,Australia,UMR,YPWR,-31.144167,136.816944,548,9.5,O,10
Sydney Bankstown,Sydney,Australia,BWU,YSBK,-33.924444,150.988333,29,10,O,10
Canberra,Canberra,Australia,CBR,YSCB,-35.306944,149.195,1886,10,O,10
Coffs Harbour,Coff's Harbour,Australia,CFS,YSCH,-30.320556,153.116389,18,10,O,10
Camden,Camden,Australia,CDU,YSCN,-34.040278,150.687222,230,10,O,10
Dubbo,Dubbo,Australia,DBO,YSDU,-32.216667,148.574722,935,10,O,10
Richmond,Richmond,Australia,RCM,YSRI,-33.600556,150.780833,67,10,O,10
Sydney Intl,Sydney,Australia,SYD,YSSY,-33.946111,151.177222,21,10,O,10
Tamworth,Tamworth,Australia,TMW,YSTW,-31.083889,150.846667,1334,10,O,10
Wagga Wagga,Wagga Wagga,Australia,WGA,YSWG,-35.165278,147.466389,724,10,O,10
Emerald,Emerald,Australia,EMD,YEML,-23.5675,148.179167,624,10,O,10
Darwin Intl,Darwin,Australia,DRW,YPDN,-12.4083333,130.87266,103,9.5,N,10
Ayers Rock,Uluru,Australia,AYQ,YAYE,-25.186111,130.975556,1626,9.5,N,10
Kingscote Airport,Kingscote,Australia,KGC,YKSC,-35.713889,137.521389,24,9.5,O,10
Hervey Bay Airport,Hervey Bay,Australia,HVB,YHBA,-25.318889,152.880278,60,10,O,10
Armidale,Armidale,Australia,ARM,YARM,-30.528056,151.617222,3556,10,O,10
Blackall,Blackall,Australia,BKQ,YBCK,-24.427778,145.428611,928,10,O,10
Bundaberg,Bundaberg,Australia,BDB,YBUD,-24.903889,152.318611,107,10,O,10
Hayman Island Airport,Hayman Island,Australia,HIS,YHYN,-20.066668,148.86667,10,10,O,10
Thangool,Biloela,Australia,THG,YTNG,-24.493889,150.576111,644,10,O,10
Ballina Byron Gateway,Ballina Byron Bay,Australia,BNK,YBNA,-28.833889,153.5625,7,10,O,10
Broome,Broome,Australia,BME,YPBR,-17.8,122.2,56,8,O,10
Newcastle Airport,Newcastle,Australia,NTL,YWLM,-32.78,151.83,31,10,O,10
Goulburn Airport,Goulburn,Australia,GUL,YGLB,-34.8103,149.726,2141,10,O,10
Albany Airport,Albany,Australia,ALH,YABA,-34.9433,117.809,233,8,O,10
Argyle Airport,Argyle,Australia,GYL,YARG,-16.6369,128.451,522,8,O,10
Aurukun Airport,Aurukun,Australia,AUU,YAUR,-13.3539,141.721,31,10,O,10
Barcaldine Airport,Barcaldine,Australia,BCI,YBAR,-23.5653,145.307,878,10,O,10
Badu Island Airport,Badu Island,Australia,BDD,YBAU,-10.15,141.175,14,9,O,10
Birdsville Airport,Birdsville,Australia,BVI,YBDV,-25.8975,139.348,159,10,O,10
Broken Hill Airport,Broken Hill,Australia,BHQ,YBHI,-32.0014,141.472,958,9.5,O,10
Hamilton Island Airport,Hamilton Island,Australia,HTI,YBHM,-20.3581,148.952,15,10,O,10
Bedourie Airport,Bedourie,Australia,BEU,YBIE,-24.3461,139.46,300,10,O,10
Bourke Airport,Bourke,Australia,BRK,YBKE,-30.0392,145.952,352,10,O,10
Burketown Airport,Burketown,Australia,BUC,YBKT,-17.7486,139.534,21,10,O,10
Boigu Airport,Boigu,Australia,GIC,YBOI,-9.23278,142.218,23,10,O,10
Oakey Airport,Oakey,Australia,OKY,YBOK,-27.411389,151.735278,1335,10,O,10
Boulia Airport,Boulia,Australia,BQL,YBOU,-22.9133,139.9,542,10,O,10
Bathurst Airport,Bathurst,Australia,BHS,YBTH,-33.4094,149.652,2435,10,O,10
Blackwater Airport,Blackwater,Australia,BLT,YBTR,-23.6031,148.807,657,10,O,10
Carnarvon Airport,Carnarvon,Australia,CVQ,YCAR,-24.8806,113.672,13,8,O,10
Cobar Airport,Cobar,Australia,CAZ,YCBA,-31.5383,145.794,724,10,O,10
Coober Pedy Airport,Coober Pedy,Australia,CPD,YCBP,-29.04,134.721,740,9.5,O,10
Coconut Island Airport,Coconut Island,Australia,CNC,YCCT,-10.05,143.07,3,10,O,10
Cloncurry Airport,Cloncurry,Australia,CNJ,YCCY,-20.6686,140.504,616,10,O,10
Ceduna Airport,Ceduna,Australia,CED,YCDU,-32.1306,133.71,77,9.5,O,10
Cooktown Airport,Cooktown,Australia,CTN,YCKN,-15.4447,145.184,26,10,O,10
Cunnamulla Airport,Cunnamulla,Australia,CMA,YCMU,-28.03,145.622,630,10,O,10
Coonamble Airport,Coonamble,Australia,CNB,YCNM,-30.9833,148.376,604,10,O,10
Coen Airport,Coen,Australia,CUQ,YCOE,-13.7608,143.114,532,10,O,10
Cooma Snowy Mountains Airport,Cooma,Australia,OOM,YCOM,-36.3006,148.974,3088,10,O,10
Doomadgee Airport,Doomadgee,Australia,DMD,YDMG,-17.9403,138.822,153,10,O,10
Darnley Island Airport,Darnley Island,Australia,NLF,YDNI,-9.58333,143.767,0,10,O,10
Devonport Airport,Devonport,Australia,DPO,YDPO,-41.1697,146.43,33,10,O,10
Elcho Island Airport,Elcho Island,Australia,ELC,YELD,-12.0194,135.571,101,9.5,O,10
Esperance Airport,Esperance,Australia,EPR,YESP,-33.6844,121.823,470,8,O,10
Flinders Island Airport,Flinders Island,Australia,FLS,YFLI,-40.0917,147.993,10,10,O,10
Geraldton Airport,Geraldton,Australia,GET,YGEL,-28.7961,114.707,121,8,O,10
Gladstone Airport,Gladstone,Australia,GLT,YGLA,-23.8697,151.223,64,10,O,10
Groote Eylandt Airport,Groote Eylandt,Australia,GTE,YGTE,-13.975,136.46,53,9.5,O,10
Griffith Airport,Griffith,Australia,GFF,YGTH,-34.2508,146.067,439,10,O,10
Horn Island Airport,Horn Island,Australia,HID,YHID,-10.5864,142.29,43,10,O,10
Hooker Creek Airport,Hooker Creek,Australia,HOK,YHOO,-18.3367,130.638,320,9.5,O,10
Mount Hotham Airport,Mount Hotham,Australia,MHU,YHOT,-37.0475,147.334,4260,10,O,10
Hughenden Airport,Hughenden,Australia,HGD,YHUG,-20.815,144.225,1043,10,O,10
Julia Creek Airport,Julia Creek,Australia,JCK,YJLC,-20.6683,141.723,404,10,O,10
Kalbarri Airport,Kalbarri,Australia,KAX,YKBR,-27.69,114.262,157,8,O,10
King Island Airport,King Island,Australia,KNS,YKII,-39.8775,143.878,132,10,O,10
Kalkgurung Airport,Kalkgurung,Australia,KFG,YKKG,-17.4319,130.808,646,9.5,O,10
Karumba Airport,Karumba,Australia,KRB,YKMB,-17.4567,140.83,5,10,O,10
Kowanyama Airport,Kowanyama,Australia,KWM,YKOW,-15.4856,141.751,35,10,O,10
Kubin Airport,Kubin,Australia,KUG,YKUB,-10.225,142.218,15,10,O,10
Leonora Airport,Leonora,Australia,LNO,YLEO,-28.8781,121.315,1217,8,O,10
Lake Evella Airport,Lake Evella,Australia,LEL,YLEV,-12.4989,135.806,256,9.5,O,10
Lord Howe Island Airport,Lord Howe Island,Australia,LDH,YLHI,-31.5383,159.077,5,10.5,O,10
Lockhart River Airport,Lockhart River,Australia,IRG,YLHR,-12.7869,143.305,77,10,O,10
Lismore Airport,Lismore,Australia,LSY,YLIS,-28.8303,153.26,35,10,O,10
Lightning Ridge Airport,Lightning Ridge,Australia,LHG,YLRD,-29.4567,147.984,540,10,O,10
Longreach Airport,Longreach,Australia,LRE,YLRE,-23.4342,144.28,627,10,O,10
Leinster Airport,Leinster,Australia,LER,YLST,-27.8433,120.703,1631,8,O,10
Laverton Airport,Laverton,Australia,LVO,YLTN,-28.6136,122.424,1530,8,O,10
Mabuiag Island Airport,Mabuiag Island,Australia,UBB,YMAA,-9.95,142.183,0,10,O,10
Meekatharra Airport,Meekatharra,Australia,MKR,YMEK,-26.6117,118.548,1713,8,O,10
Merimbula Airport,Merimbula,Australia,MIM,YMER,-36.9086,149.901,7,10,O,10
Milingimbi Airport,Milingimbi,Australia,MGT,YMGB,-12.0944,134.894,53,9.5,O,10
Maningrida Airport,Maningrida,Australia,MNG,YMGD,-12.0561,134.234,123,9.5,O,10
McArthur River Mine Airport,McArthur River Mine,Australia,MCV,YMHU,-16.4425,136.084,131,9.5,O,10
Mildura Airport,Mildura,Australia,MQL,YMIA,-34.2292,142.086,167,10,O,10
Mount Magnet Airport,Mount Magnet,Australia,MMG,YMOG,-28.1161,117.842,1354,8,O,10
Moree Airport,Moree,Australia,MRZ,YMOR,-29.4989,149.845,701,10,O,10
Moranbah Airport,Moranbah,Australia,MOV,YMRB,-22.0578,148.077,770,10,O,10
Moruya Airport,Moruya,Australia,MYA,YMRY,-35.8978,150.144,14,10,O,10
Mount Gambier Airport,Mount Gambier,Australia,MGB,YMTG,-37.7456,140.785,212,9.5,O,10
Mornington Island Airport,Mornington Island,Australia,ONG,YMTI,-16.6625,139.178,33,10,O,10
Murray Island Airport,Murray Island,Australia,MYI,YMUI,-9.91667,144.055,0,10,O,10
Maryborough Airport,Maryborough,Australia,MBH,YMYB,-25.5133,152.715,38,10,O,10
Narrandera Airport,Narrandera,Australia,NRA,YNAR,-34.7022,146.512,474,10,O,10
Narrabri Airport,Narrabri,Australia,NAA,YNBR,-30.3192,149.827,788,10,O,10
Normanton Airport,Normanton,Australia,NTN,YNTN,-17.6836,141.07,73,10,O,10
